,x,state/non_state
142,Jie Ethnic Militia (South Sudan),2
143,Military Forces of Ethiopia (1991-),1
144,Dinka Malual Ethnic Militia (South Sudan),2
145,Tonj Communal Militia (South Sudan),2
146,Galweng Militia,2
147,Dinka Ngok Ethnic Militia (South Sudan),2
148,Torit East Communal Militia (South Sudan),2
149,Sindiru Communal Militia (South Sudan),2
150,Morsak Communal Militia (South Sudan),2
151,SPLA/M-In Opposition-Deng Gai: Sudanese Peoples Liberation Army/Movement-In Opposition (Deng Gai Faction),2
152,NDM: National Democratic Movement,1
153,Oluo Monyomiji Militia,2
154,SPLA/M-In Opposition-Weluba: Sudanese Peoples Liberation Army/Movement-In Opposition (Weluba Faction),2
155,SSDF: South Sudan Democratic Front,2
156,Farjok Communal Militia (South Sudan),2
157,Manuer Communal Militia (South Sudan),2
158,Leich Communal Militia (South Sudan),2
159,Jonglei Communal Militia (South Sudan),2
160,Bahr Gel Communal Militia (South Sudan),2
161,NMC: National Movement for Change,2
162,Rubkona Communal Militia (South Sudan),2
163,Wau Communal Militia (South Sudan),2
164,Abiriu Communal Militia (South Sudan),2
165,Military Forces of Egypt (2014-),1
166,Boma Communal Militia (South Sudan),2
167,Didinga Ethnic Militia (South Sudan),2
168,Kok Keer Clan Militia (South Sudan),2
169,Terkeka Communal Militia (South Sudan),2
170,NAS: National Salvation Front,2
171,Lakes Communal Militia (South Sudan),2
172,Turkana Ethnic Militia (Kenya),2
173,Dinka Agar Ethnic Militia (South Sudan),2
174,Mutiny of Police Forces of South Sudan (2011-) Prison Guards,1
175,Apuk Ethnic Militia (South Sudan),2
176,Ajakkuac Communal Militia (South Sudan),2
177,NRM/A: National Resistance Movement/Army,2
178,Ingessana Ethnic Militia (Sudan),2
179,UNISFA: United Nations Interim Security Force for Abyei (2011-),1
180,Luo Ethnic Militia (South Sudan),2
181,PFDRPANG: Popular Front for Democratic Reform and Pan-African National Guard,1
182,Atuot Clan Dinka Ethnic Militia (South Sudan),2
183,Misseriya Ethnic Militia (Sudan),2
184,Abiem Clan Dinka Ethnic Militia (South Sudan),2
185,Apuk Giir Clan Dinka Ethnic Militia (South Sudan),2
186,Kaliya Communal Militia (South Sudan),2
187,Wunrok Communal Militia (South Sudan),2
188,Bahr el Ghazal Communal Militia (South Sudan),2
189,Kuac Communal Militia (South Sudan),2
190,Melut Communal Militia (South Sudan),2
191,Kuacdit Clan Militia (South Sudan),2
192,Protesters (International),
193,Malou-pech Communal Militia (South Sudan),2
194,Cuei Adukan Communal Militia (South Sudan),2
195,SSPM/A: South Sudan Patriotic Movement/Army,2
196,NRF/A: National Resistance Front/Army,2
197,NPASS: National People's Alliance of South Sudan,2
198,SSUA-Gadet: Southern Sudan United Army (Gadet Faction),2
199,Pakam Clan Dinka Ethnic Militia (South Sudan),2
200,Kongor Communal Militia (South Sudan),2
201,Bor South Clan Militia (South Sudan),2
202,Bieh Communal Militia (South Sudan),2
203,Turalei Communal Militia (South Sudan),2
204,Jur Ethnic Militia (South Sudan),2
205,Awlad Omran Ethnic Militia (Sudan),2
206,Tijor Communal Militia (South Sudan),2
207,Bol Communal Miltia (South Sudan),2
208,Pibor Communal Militia (South Sudan),2
209,SSOA: South Sudan Opposition Alliance,2
210,Pathiong Clan Militia (South Sudan),2
211,Christian Militia (South Sudan),2
212,SS-UF: South Sudan-United Front,2
213,SSULM/A: South Sudan United Liberation Movement/Army,2
214,Akook Communal Militia (South Sudan),2
215,Ganyiel Communal Militia (South Sudan),2
216,SPLM-FD: Sudanese Peoples Liberation Movement (Former Detainees),2
217,UN: United Nations,1
218,Lolianga Communal Militia (South Sudan),2
219,Duk Padiet Communal Militia (South Sudan),2
220,Terekeka Communal Militia (South Sudan),2
221,Awan Ethnic Militia (South Sudan),2
222,Luanyjang Communal Militia (South Sudan),2
223,Biong Communal Militia (South Sudan),2
224,Haforiere Communal Militia (South Sudan),2
225,Liech Communal Militia (South Sudan),2
226,Panawur Clan Dinka Ethnic Militia (South Sudan),2
227,Aluakluak Communal Militia (South Sudan),2
228,SSNMC: South Sudan National Movement for Change,2
229,Chukudum Communal Militia (South Sudan),2
230,PDM-P: People's Democratic Movement for Peace,2
231,Langbar Communal Militia (South Sudan),2
232,MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),1
233,Apuk-Padoch Clan Dinka Ethnic Militia (South Sudan),2
234,Kobura Clan Mundari Ethnic Militia (South Sudan),2
235,Panyijiar Communal Militia (South Sudan),2
236,Western Jikany Nuer Ethnic Militia (South Sudan),2
237,Juba Communal Militia (South Sudan),2
238,Civilians (South Sudan),
239,NA,
240,Civilians (Sudan),
241,UDF: United Democratic Front,2
242,Civilians (Kenya),
243,Amothnhon Communal Militia (South Sudan),2
244,Dinka Rek Ethnic Militia (Sudan),2
245,SPLM Youth League,2
246,Civilians (Uganda),2
247,Unidentified Ethnic Militia (Sudan),2
248,Niel-Niel Ethnic Militia (South Sudan),2
249,Leek Ethnic Militia (South Sudan),2
250,Civilians (International),
251,Civilians (Ethiopia),
252,Tiek Clan Militia (South Sudan),2
253,Durceek Clan Militia (South Sudan),2
254,Nyuei Beag Communal Militia (South Sudan),2
255,Omorwo Ethnic Militia (South Sudan),2
256,Koch Ker Sub-Clan Militia (South Sudan),2
257,Lulubo Ethnic Militia (South Sudan),2
258,Tokarei Clan Militia (South Sudan),2
259,NYU: National Youth Union,2
260,Kozoro Communal Militia (South Sudan),2
261,Choldong Communal Militia (South Sudan),2
262,Government of Sudan (1989-),1
263,Civilians (Egypt),
264,Tonj North Communal Militia (South Sudan),2
265,Idali Communal Militia (South Sudan),2
266,Alel Thony Communal Militia (South Sudan),2
267,Juet Ethnic Militia (South Sudan),2
268,Civilians (Somalia),
269,Haak Nuer Ethnic Militia (South Sudan),2
270,Awuor Clan Dinka Ethnic Militia (South Sudan),2
271,Civilians (Eritrea),
272,Dhiei Clan Dinka Ethnic Militia (South Sudan),2
273,Anuak Ethnic Militia (South Sudan),2
274,Civilians (Democratic Republic of Congo),
275,SPLA/M-Gadet: Sudanese Peoples Liberation Army (Gadet Faction),2
276,Dinka Luach Ethnic Militia (South Sudan),2
277,Al Shabaab,2
278,Aliap Clan Militia (South Sudan),2
279,Dinka Marial Lou Ethnic Militia (South Sudan),2
280,Bototh Ethnic Militia (South Sudan),2
281,Pancuer Communal Militia (South Sudan),2
282,Civilians (Rwanda),
283,Fertit Ethnic Militia (South Sudan),2
284,IGAD: Intergovernmental Authority on Development,2
285,Government of United States,1
286,Koch Communal Militia (South Sudan),2
287,Jur Beli Ethnic Militia (South Sudan),2
288,Ayii Rebel Group,2
289,AU-RTF: African Union-led Regional Task Force (2011-),2
290,Obwo Communal Militia (South Sudan),2
291,Akaak Communal Militia (South Sudan),2
292,Bapiny Communal Militia (South Sudan),2
293,Ruweng Communal Militia (South Sudan),2
294,Pentin Communal Militia (South Sudan),2
295,Pochalla Communal Militia (South Sudan),2
296,SSRP: South Sudan Republican Party,2
297,Mundri East Communal Militia (South Sudan),2
298,Militia (Col. John Data),2
299,Kurene Clan Murle Ethnic Militia (South Sudan),2
300,Loryok Communal Militia (South Sudan),2
301,Militia (Brig. Hillary Yakani),2
302,Uduk Ethnic Militia (Sudan),2
303,EPPF: Ethiopian Peoples Patriotic Front,2
304,Police Forces of Sudan (1989-),1
305,Bul West Communal Militia (South Sudan),2
306,Budi Communal Militia (South Sudan),2
307,Military Forces of Democratic Republic of Congo (2001-),1
308,Ajugo Communal Militia (South Sudan),2
309,Pakur Communal Militia (South Sudan),2
310,Awulian Ethnic Militia (South Sudan),2
311,Militia (Amanya),
312,SSFM/A: South Sudanese Freedom Movement/Army,2
313,UNMAS: United Nations Mine Action Service,1
314,EFM/A: Eastern Front Movement/Army,2
315,Military Forces of South Africa (1994-),1
